millis,time,mode,dt_control,v_raw,v_hat,v_ref,z_ref,z_meas,u_intVertical,u_pi,leftThrust,rightThrust,
21359,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21459,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21559,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21659,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21759,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21859,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21959,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22059,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22159,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22259,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22359,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22459,18:00:31,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22559,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22659,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22759,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22859,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
22959,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23059,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23159,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23259,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23359,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23459,18:00:32,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23559,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23659,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23759,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23859,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
23959,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24059,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24159,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24259,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24359,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24459,18:00:33,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24559,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24659,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24759,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24859,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
24959,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25059,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25159,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25259,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25359,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25459,18:00:34,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25559,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25659,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25759,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25859,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
25959,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26059,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26159,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26259,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26359,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26459,18:00:35,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26559,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26659,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26759,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26859,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
26959,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27059,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27159,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27259,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27359,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27459,18:00:36,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27559,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27659,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27759,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27859,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
27959,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28059,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28159,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28259,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28359,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28459,18:00:37,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28559,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28659,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28759,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28859,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
28959,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29059,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29159,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29259,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29359,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29459,18:00:38,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29559,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29659,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29759,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29859,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
29959,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30059,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30159,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30259,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30359,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30459,18:00:39,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30559,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30659,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30759,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30859,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
30959,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31059,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31159,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31259,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31359,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31459,18:00:40,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31559,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31659,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31759,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31859,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
31959,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32059,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32159,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32259,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32359,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32459,18:00:41,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32559,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32659,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32759,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32859,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
32959,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33059,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33159,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33259,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33359,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33459,18:00:42,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33559,18:00:43,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33659,18:00:43,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33759,18:00:43,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
33859,18:00:43,ALTITUDE_HOLD,33.85,0,0,0.449,1,0.252,0,0,0,0,
33959,18:00:43,ALTITUDE_HOLD,0.1,-0.01,-0.01,0.449,1,0.251,0.004,0,0,0,
34059,18:00:43,ALTITUDE_HOLD,0.1,0.03,0.03,0.448,1,0.254,0.008,0,0,0,
34159,18:00:43,ALTITUDE_HOLD,0.1,-0.01,-0.01,0.448,1,0.253,0.012,0,0,0,
34259,18:00:43,ALTITUDE_HOLD,0.1,0.02,0.02,0.447,1,0.255,0.016,0,0,0,
